"uge";"Region Hovedstaden";"Region Nordjylland";"Region Sjælland";"Region Syddanmark";"Region Midtjylland"
2020-W13;2;0;;;
2020-W15;45;1;3;;
2020-W16;34;0;;1;
2020-W17;2597;780;1891;597;217
2020-W18;5606;2640;2010;2172;2585
2020-W19;5405;2537;1512;2796;2996
2020-W20;3732;2165;1356;1958;2068
2020-W21;9385;2614;3813;4150;4962
2020-W22;13189;3234;6321;6235;6758
2020-W23;13619;1346;4617;3296;3494
2020-W24;17265;1816;4585;3294;4141
2020-W25;19318;6832;5509;3789;4834
2020-W26;18898;7931;5905;4526;7055
2020-W27;17890;9037;4848;5402;7688
2020-W28;18336;6723;5376;5645;7553
2020-W29;21728;5487;6496;6876;9422
2020-W30;24830;6141;7427;8232;11555
2020-W31;31313;8564;10394;10428;15105
2020-W32;33345;10277;14752;13477;25993
2020-W33;35045;12003;13599;17402;49571
2020-W34;38674;12354;15377;19410;44489
2020-W35;38756;9893;12924;17663;39020
2020-W36;47159;10973;13634;21391;34158
2020-W37;70935;16203;23650;40742;37116
2020-W38;99708;25866;28577;32799;31490
2020-W39;96873;26491;29780;31445;30555
2020-W40;81804;18440;31036;30461;37065
2020-W41;81673;21062;29267;29106;43055
2020-W42;65352;16640;20941;29410;37831
2020-W43;97235;29336;31404;42846;57144
2020-W44;130778;44195;42193;65277;78696
2020-W45;141206;56286;46943;56447;67017
2020-W46;138098;88245;45909;55937;70131
2020-W47;126217;90462;46224;57117;71552
2020-W48;129077;39702;44617;60370;96420
2020-W49;161826;26638;58306;64824;93980
2020-W50;202648;43296;71394;78242;114997
2020-W51;245843;67853;92285;119610;139287
2020-W52;199166;51560;68266;91625;92284
2020-W53;156455;50864;58680;80108;74805
2021-W01;145990;53572;72618;90928;74982
2021-W02;158504;57289;71534;97940;113285
2021-W03;189268;73137;94345;135643;139561
2021-W04;196256;78672;97941;148165;146107
2021-W05;208815;80600;99196;149871;150456
2021-W06;215738;82555;100951;155853;151644
2021-W07;229812;84901;106299;165977;154762
2021-W08;268503;97383;117492;199713;173317
2021-W09;283369;103582;131525;209988;202480
2021-W10;288468;103230;136746;219501;210149
2021-W11;293891;114953;141158;237673;229164
2021-W12;307630;106623;138875;232794;218916
